feature,importance
lag_1,50.609530305685254
lag_168,23.385751883089895
lag_336,20.55473595295482
hour,11.789987735171007
lag_24,9.84524766529468
lag_504,7.369017986890603
dayofweek,3.6472332538284538
zone_138,0.5797998822519578
zone_132,0.50625405407346
zone_80,0.3426025776011155
zone_148,0.28682556758870803
zone_36,0.2820459578424996
is_holiday,0.24244934424743284
zone_79,0.23399871104896092
zone_161,0.22225756616192507
zone_255,0.21807419271836057
zone_37,0.20211055363632344
zone_230,0.18423217569207562
zone_246,0.16890283803630665
zone_256,0.16787743965283233
zone_236,0.15809647172176636
zone_249,0.1470670849292645
zone_48,0.1327298244462847
zone_237,0.12900021325180322
zone_76,0.12771275534278498
zone_162,0.1243166057302305
zone_231,0.10740617391170001
zone_112,0.10605563970905248
zone_61,0.10532736732881412
zone_97,0.10086200574883177
zone_164,0.10053663543070916
zone_216,0.10014938282263158
zone_144,0.09985160943457547
zone_129,0.09460334630707239
zone_163,0.09378626652444029
zone_234,0.09243840937795361
zone_39,0.08668424814587126
zone_68,0.07277495950361675
zone_170,0.07149681610953403
zone_141,0.07000168850167388
zone_42,0.0666226078698919
zone_142,0.06588451025900868
zone_95,0.0643483078410666
zone_181,0.06366783031790615
zone_244,0.0636460495847749
zone_145,0.05833431896455613
zone_89,0.05797744057462559
zone_7,0.05527715746945528
zone_130,0.054042335595079906
zone_168,0.05293486003567026
zone_90,0.048671207617847816
zone_74,0.044746902874626716
zone_225,0.04300810335939765
zone_82,0.03976563634539971
zone_188,0.03808318911322398
zone_41,0.03300884408340052
zone_17,0.02865316960371095
zone_107,0.023253975321422066
