feature,importance
median_lag_3w,51.97807489481136
lag_1,43.21388070773061
hour,11.323546161964892
lag_24,9.047056760211655
lag_168,6.07935381736626
dayofweek,3.672565803247699
zone_138,0.5528561369099624
zone_132,0.49002008137163705
zone_80,0.38306648592616743
zone_148,0.32260218394033785
zone_36,0.3105276265943351
zone_79,0.25104200943819005
zone_255,0.240741287530723
zone_161,0.23013160228553653
is_holiday,0.22757452473298523
zone_37,0.2239382664416751
zone_230,0.2125619325540225
zone_256,0.17641290929496595
zone_246,0.16955734560038632
zone_236,0.16732823904407404
zone_249,0.1656069580282288
zone_112,0.14558950284675412
zone_76,0.14491229879927153
zone_48,0.14333896968383608
zone_237,0.12827720753695496
zone_162,0.12706473192194556
zone_216,0.11292302291301134
zone_164,0.11096211765056817
zone_234,0.11053282375073939
zone_97,0.10744586549980958
zone_129,0.10342944773301119
zone_144,0.1027357177922314
zone_231,0.1008662186517059
zone_163,0.10032714833624147
zone_39,0.09588522768812537
zone_141,0.08949912138279308
zone_68,0.0866312741389075
zone_61,0.08514643410762955
zone_170,0.07645275772790026
zone_42,0.07618863888221399
zone_95,0.07498000523835084
zone_145,0.07324969544166751
zone_142,0.07126338385464719
zone_244,0.06970715206950265
zone_168,0.06799289976030463
zone_181,0.06341982286248471
zone_7,0.062385708396714236
zone_74,0.06087373468606736
zone_89,0.0571327791094192
zone_90,0.05619974331978698
zone_130,0.05375720895003323
zone_225,0.050316072792545186
zone_188,0.04587354500160688
zone_82,0.04534541767028839
zone_41,0.03771119449123919
zone_17,0.02974068555884412
zone_107,0.028874931655100973
