pu_location_id,pair,pearson_r,n_obs
7,lag_168_vs_lag_336,0.8873549150427894,4584
7,lag_168_vs_lag_504,0.8676265528241017,4584
7,lag_336_vs_lag_504,0.8683555917800694,4584
17,lag_168_vs_lag_336,0.9060366205235724,4584
17,lag_168_vs_lag_504,0.8881381416672737,4584
17,lag_336_vs_lag_504,0.890935762346841,4584
36,lag_168_vs_lag_336,0.9358676083644624,4584
36,lag_168_vs_lag_504,0.9087465691184132,4584
36,lag_336_vs_lag_504,0.9107923528331826,4584
37,lag_168_vs_lag_336,0.9229306425016608,4584
37,lag_168_vs_lag_504,0.8813571146492296,4584
37,lag_336_vs_lag_504,0.8875052857350231,4584
39,lag_168_vs_lag_336,0.9239672850054464,4584
39,lag_168_vs_lag_504,0.9163635712803938,4584
39,lag_336_vs_lag_504,0.9180236376525196,4584
41,lag_168_vs_lag_336,0.9219124293091764,4584
41,lag_168_vs_lag_504,0.91070793053308,4584
41,lag_336_vs_lag_504,0.9106211613491878,4584
42,lag_168_vs_lag_336,0.9216875158802512,4584
42,lag_168_vs_lag_504,0.9073506264466862,4584
42,lag_336_vs_lag_504,0.9108941715691108,4584
48,lag_168_vs_lag_336,0.8897246008058107,4584
48,lag_168_vs_lag_504,0.8698098352179948,4584
48,lag_336_vs_lag_504,0.8733361382062043,4584
61,lag_168_vs_lag_336,0.9390641864332094,4584
61,lag_168_vs_lag_504,0.9187093745980924,4584
61,lag_336_vs_lag_504,0.9248614455782438,4584
68,lag_168_vs_lag_336,0.9086615324996634,4584
68,lag_168_vs_lag_504,0.8909528421766477,4584
68,lag_336_vs_lag_504,0.8979911634696561,4584
74,lag_168_vs_lag_336,0.9240022685984132,4584
74,lag_168_vs_lag_504,0.9105061642247596,4584
74,lag_336_vs_lag_504,0.9136743703087604,4584
76,lag_168_vs_lag_336,0.935057193207442,4584
76,lag_168_vs_lag_504,0.9264228038822756,4584
76,lag_336_vs_lag_504,0.928749699300616,4584
79,lag_168_vs_lag_336,0.9363117479474392,4584
79,lag_168_vs_lag_504,0.9264574301764406,4584
79,lag_336_vs_lag_504,0.9230234150798876,4584
80,lag_168_vs_lag_336,0.8651068851321124,4584
80,lag_168_vs_lag_504,0.8642703129078095,4584
80,lag_336_vs_lag_504,0.8455644722107892,4584
82,lag_168_vs_lag_336,0.85853317109123,4584
82,lag_168_vs_lag_504,0.8484943040587614,4584
82,lag_336_vs_lag_504,0.8480279754942953,4584
89,lag_168_vs_lag_336,0.9066763368344491,4584
89,lag_168_vs_lag_504,0.9002834241201801,4584
89,lag_336_vs_lag_504,0.8995610635057142,4584
90,lag_168_vs_lag_336,0.8839935744903593,4584
90,lag_168_vs_lag_504,0.8684320740539127,4584
90,lag_336_vs_lag_504,0.8671705148086416,4584
95,lag_168_vs_lag_336,0.8957423245589385,4584
95,lag_168_vs_lag_504,0.8941731501073015,4584
95,lag_336_vs_lag_504,0.904852508282694,4584
97,lag_168_vs_lag_336,0.8693373370432781,4584
97,lag_168_vs_lag_504,0.8691613797759997,4584
97,lag_336_vs_lag_504,0.8665118211444259,4584
107,lag_168_vs_lag_336,0.9039945804021452,4584
107,lag_168_vs_lag_504,0.8892654951539316,4584
107,lag_336_vs_lag_504,0.885286976755521,4584
112,lag_168_vs_lag_336,0.8819763689214015,4584
112,lag_168_vs_lag_504,0.881743525756881,4584
112,lag_336_vs_lag_504,0.8699892286326861,4584
