feature,importance
median_lag_3w,53.27127752307677
lag_1,46.88539720638118
hour,12.282000819864331
lag_24,11.83799505426214
dayofweek,4.1629360443883945
zone_138,0.9647785358739064
zone_132,0.5755620654074706
is_holiday,0.4242520094111969
zone_148,0.39122938179474503
zone_80,0.38278970897172176
zone_79,0.3536205139701447
zone_36,0.3040424911337393
zone_37,0.2974027865613243
zone_255,0.2651273817851811
zone_161,0.2589112310911043
zone_230,0.25527770701835134
zone_256,0.1999336512292052
zone_246,0.19274358774460681
zone_236,0.18422872132031895
zone_249,0.1809273852875491
zone_162,0.16423385288405332
zone_48,0.1601735553695883
zone_164,0.1579900346762495
zone_112,0.15762566735925337
zone_76,0.13458197298046712
zone_163,0.13225661219903875
zone_237,0.12599205275174444
zone_216,0.12458760918986764
zone_234,0.12239598446531343
zone_141,0.11922871001396759
zone_61,0.11405981135396498
zone_68,0.10973202184982651
zone_129,0.10969577486334584
zone_144,0.10363625943697732
zone_7,0.10146311044326702
zone_97,0.09953674266165037
zone_39,0.09366986865953661
zone_145,0.09365352413135977
zone_142,0.09180056605994431
zone_231,0.09162731492953566
zone_168,0.08361919042100424
zone_225,0.0798406956668725
zone_42,0.07729470535040095
zone_244,0.07717618783815051
zone_181,0.07356534419287905
zone_95,0.07249194808309806
zone_170,0.06688704813200781
zone_130,0.06529877932749414
zone_74,0.059888394662127906
zone_17,0.05649073029348955
zone_90,0.05426930731635516
zone_41,0.05030972790313532
zone_82,0.04790755902404147
zone_188,0.04196986077270022
zone_89,0.04164286567638238
zone_107,0.0356143848918598
