feature,importance
lag_1,53.601368
median_lag_3w,53.471455
hour,12.089326
lag_24,11.400086
dayofweek,4.268019
zone_138,0.6186218
zone_132,0.60146314
is_holiday,0.50083166
zone_148,0.35579386
zone_80,0.34400985
zone_79,0.29952118
zone_36,0.29458913
zone_161,0.2925767
zone_230,0.2818962
zone_255,0.265489
zone_246,0.23849922
zone_37,0.2244759
zone_249,0.1927818
zone_162,0.18874593
zone_256,0.18002552
zone_76,0.17701778
zone_112,0.16625305
zone_216,0.1538461
zone_68,0.1521977
zone_236,0.14973074
zone_163,0.14825618
zone_237,0.14638497
zone_234,0.14405452
zone_48,0.14396624
zone_39,0.13658597
zone_129,0.13480596
zone_164,0.1328647
zone_95,0.12871884
zone_144,0.12382125
zone_42,0.120236196
zone_231,0.117768936
zone_145,0.114339866
zone_97,0.10886443
zone_141,0.09924002
zone_168,0.09557842
zone_61,0.094760776
zone_142,0.09298046
zone_170,0.09181012
zone_181,0.089632966
zone_244,0.0867076
zone_130,0.08577656
zone_7,0.07086892
zone_89,0.07040158
zone_74,0.069560446
zone_82,0.06474811
zone_225,0.064665
zone_41,0.060979027
zone_188,0.053715747
zone_90,0.048258662
zone_17,0.04422461
zone_107,0.041768804
