feature,importance
lag_1,59.54141115764531
lag_168,24.206601483800014
lag_336,19.664326187950202
hour,12.82178770058061
lag_24,10.51883769783185
lag_504,6.760821861681151
dayofweek,3.821991731727133
zone_138,0.6315273498296153
zone_132,0.5388776220342376
is_holiday,0.5098951548653577
zone_80,0.34789238664522637
zone_148,0.30514224302154663
zone_36,0.27646804350260556
zone_161,0.2682312907719763
zone_79,0.2636662935334025
zone_255,0.22849431735190046
zone_230,0.22713820933037576
zone_246,0.21970132817986718
zone_37,0.18155904534586667
zone_249,0.17487979829531075
zone_76,0.1642740458123778
zone_256,0.16214458758328293
zone_162,0.16149757039515353
zone_237,0.15200704699445267
zone_236,0.14618962504831934
zone_48,0.13803332554447223
zone_112,0.12320306494724773
zone_68,0.11683393015628217
zone_163,0.11585498965343188
zone_234,0.11263952275778813
zone_144,0.10973696770961708
zone_216,0.10647488197470462
zone_231,0.10364081003497368
zone_39,0.10292415464723759
zone_61,0.10043170853704354
zone_129,0.0988028832395406
zone_164,0.09787401754468139
zone_97,0.09513907946091466
zone_170,0.08580269857290018
zone_42,0.08165646833285548
zone_142,0.07718019248795314
zone_95,0.07426783983721685
zone_244,0.07051997467730965
zone_141,0.06959844255830275
zone_168,0.06955364319867015
zone_181,0.0686366659656638
zone_89,0.06433148860604611
zone_130,0.05982137451729154
zone_145,0.05474912353752362
zone_7,0.04996974783851221
zone_225,0.04872122063547396
zone_90,0.04834278406957428
zone_82,0.04580314495142983
zone_74,0.04519756429059626
zone_188,0.04132376081273734
zone_41,0.04012117633006922
zone_17,0.02822554984976935
zone_107,0.02650321209075352
