feature,importance
lag_1,51.00736615258324
lag_168,23.70263300319671
lag_336,20.854238449465807
hour,13.071960521812079
lag_24,10.319214921748014
lag_504,6.680356975674756
dayofweek,3.301620204999759
zone_138,0.5857850129455648
zone_132,0.5342140037208586
is_holiday,0.35251665352834044
zone_80,0.32899628999907704
zone_148,0.3175230976497539
zone_36,0.2510447390431832
zone_79,0.23283178401145424
zone_161,0.21226771333196567
zone_255,0.209545618880019
zone_230,0.18804102174713808
zone_37,0.17184464232658775
zone_256,0.16070472670021133
zone_249,0.15328850346870454
zone_236,0.15144866738375207
zone_76,0.1496896704840742
zone_246,0.14778495724822283
zone_48,0.1308116621158214
zone_162,0.1292538444762282
zone_164,0.1107702734921056
zone_216,0.10690741232426881
zone_97,0.10481256827813927
zone_129,0.10414461206141691
zone_112,0.10409093444824982
zone_231,0.10322872959291975
zone_144,0.09969135275332812
zone_237,0.09935154648363027
zone_163,0.0946720278563226
zone_68,0.08514395545050063
zone_234,0.08373383035977837
zone_61,0.08310845814740046
zone_39,0.08191171343619018
zone_141,0.07502747920002902
zone_142,0.07230739826478107
zone_170,0.0699129247365344
zone_244,0.06841772564565778
zone_7,0.0648169092989679
zone_42,0.06358436441133392
zone_181,0.06231783848624139
zone_145,0.06097324192929667
zone_225,0.057180821073694856
zone_95,0.053909052771731136
zone_89,0.05245772386889386
zone_168,0.05152133364885366
zone_130,0.04899412774948167
zone_90,0.04465598615203181
zone_74,0.04174956407701085
zone_82,0.04013205067992287
zone_188,0.030774717815578327
zone_17,0.024359956743398328
zone_107,0.022202382362033986
zone_41,0.02127977240967716
