feature,importance
lag_1,55.535686
median_lag_3w,49.40054
hour,12.810911
lag_24,10.017092
lag_168,7.555084
dayofweek,4.144632
is_holiday,0.7520135
zone_132,0.6647309
zone_138,0.6291981
zone_80,0.40056235
zone_148,0.33416486
zone_36,0.322603
zone_37,0.30960178
zone_230,0.29248476
zone_79,0.28817254
zone_161,0.27671376
zone_255,0.2730134
zone_246,0.24676585
zone_249,0.21978886
zone_76,0.18655317
zone_256,0.18286853
zone_112,0.14894883
zone_162,0.14361612
zone_48,0.14147143
zone_234,0.13971585
zone_237,0.13925654
zone_236,0.13586071
zone_68,0.13314658
zone_61,0.13260172
zone_216,0.12955663
zone_144,0.12458834
zone_231,0.12174649
zone_164,0.121391654
zone_97,0.116781324
zone_163,0.11186038
zone_39,0.10379799
zone_129,0.10242623
zone_145,0.0967923
zone_142,0.09408902
zone_95,0.092037864
zone_42,0.09120199
zone_181,0.09000827
zone_244,0.08826083
zone_74,0.08331383
zone_170,0.08109346
zone_168,0.07536813
zone_225,0.07252105
zone_89,0.06997242
zone_7,0.06971701
zone_141,0.06836099
zone_130,0.066495605
zone_17,0.06147503
zone_41,0.047295287
zone_82,0.047133356
zone_90,0.041089457
zone_188,0.040103853
zone_107,0.039647795
