feature,importance
median_lag_3w,52.583824
lag_1,43.800888
hour,11.07523
lag_24,8.853272
lag_168,4.449181
dayofweek,3.7438316
zone_132,0.5187487
zone_138,0.5097268
zone_80,0.37433326
zone_148,0.29775116
zone_36,0.28074723
zone_79,0.25366446
zone_161,0.24471101
zone_255,0.23868975
zone_37,0.21964335
zone_230,0.2190208
is_holiday,0.19775237
zone_246,0.19242947
zone_256,0.17030177
zone_249,0.16937746
zone_236,0.14884607
zone_112,0.14432435
zone_48,0.13238068
zone_164,0.13092013
zone_76,0.13003926
zone_237,0.12770678
zone_216,0.12752652
zone_162,0.1260034
zone_234,0.124745056
zone_144,0.11910871
zone_129,0.117835544
zone_97,0.115918435
zone_163,0.114631884
zone_39,0.11177532
zone_145,0.111496985
zone_61,0.10366816
zone_231,0.099148996
zone_68,0.093588166
zone_141,0.08477449
zone_168,0.07938731
zone_95,0.0787102
zone_170,0.076731786
zone_181,0.07592073
zone_42,0.07478049
zone_142,0.07223683
zone_7,0.069553204
zone_244,0.06949165
zone_130,0.06887618
zone_82,0.058037963
zone_225,0.056137633
zone_74,0.054918364
zone_89,0.050260033
zone_41,0.047532458
zone_90,0.0433375
zone_188,0.03713955
zone_107,0.030802133
zone_17,0.030386383
