feature,importance
lag_1,61.738976
lag_168,23.560041
lag_336,21.980705
hour,13.065395
lag_24,10.428139
lag_504,7.6344857
dayofweek,4.1899686
is_holiday,0.8070105
zone_138,0.6652705
zone_132,0.58907557
zone_80,0.3744428
zone_148,0.3018387
zone_37,0.28936854
zone_36,0.28240433
zone_230,0.27382687
zone_161,0.2579312
zone_79,0.2566909
zone_255,0.24596567
zone_246,0.23377508
zone_249,0.20256141
zone_76,0.1902857
zone_256,0.17953794
zone_236,0.1557964
zone_237,0.153699
zone_112,0.14494838
zone_68,0.14040095
zone_48,0.13706623
zone_162,0.1352418
zone_216,0.13184856
zone_234,0.13100179
zone_61,0.12834498
zone_231,0.12462317
zone_129,0.12438838
zone_144,0.12213511
zone_97,0.12042582
zone_164,0.10954384
zone_163,0.108705014
zone_95,0.102551945
zone_39,0.10097111
zone_74,0.098667406
zone_42,0.095321
zone_181,0.09288569
zone_142,0.086144045
zone_244,0.08521052
zone_170,0.084759235
zone_225,0.08386678
zone_145,0.08040459
zone_130,0.072930954
zone_168,0.07277552
zone_89,0.06786919
zone_141,0.06732517
zone_7,0.062039837
zone_17,0.060789123
zone_41,0.049857013
zone_82,0.047504254
zone_90,0.041665
zone_188,0.039213087
zone_107,0.03812051
