feature,importance
lag_1,52.638256
lag_168,23.554264
lag_336,22.567759
hour,11.732556
lag_24,9.736528
lag_504,6.9709077
dayofweek,3.3852372
zone_138,0.55276966
zone_132,0.4845143
is_holiday,0.40979907
zone_80,0.34088984
zone_148,0.31365955
zone_79,0.26475257
zone_36,0.255154
zone_255,0.22251599
zone_230,0.20407006
zone_37,0.20253003
zone_161,0.19796038
zone_246,0.18380052
zone_256,0.17673415
zone_249,0.16498113
zone_236,0.13056827
zone_48,0.13045488
zone_76,0.12957703
zone_112,0.12663773
zone_164,0.12542039
zone_162,0.10974008
zone_61,0.10898961
zone_145,0.10771709
zone_144,0.104166396
zone_234,0.099717386
zone_97,0.09915939
zone_163,0.09387118
zone_231,0.09305712
zone_216,0.091036215
zone_237,0.089503296
zone_68,0.080888025
zone_129,0.07789278
zone_141,0.076271445
zone_39,0.07195653
zone_225,0.06791297
zone_42,0.06696149
zone_7,0.06562814
zone_181,0.06342915
zone_130,0.06322381
zone_142,0.059387453
zone_95,0.056243584
zone_244,0.055557
zone_170,0.055245526
zone_168,0.053398207
zone_82,0.050560437
zone_17,0.043771457
zone_74,0.033554424
zone_89,0.03315914
zone_90,0.030247103
zone_107,0.022610903
zone_188,0.02258243
zone_41,0.021232761
