feature,importance
lag_1,58.82739
lag_168,22.983255
lag_336,19.549894
hour,12.0526705
lag_24,10.163883
lag_504,7.579688
dayofweek,3.5269856
zone_138,0.5701081
zone_132,0.5473128
is_holiday,0.47044888
zone_80,0.35740352
zone_148,0.31119928
zone_79,0.26948136
zone_161,0.26860133
zone_36,0.23864743
zone_230,0.22348115
zone_255,0.22038548
zone_249,0.22012219
zone_246,0.20788902
zone_37,0.1955606
zone_256,0.17945291
zone_112,0.17185473
zone_76,0.15116547
zone_162,0.14559251
zone_236,0.13250458
zone_48,0.12913203
zone_97,0.12515083
zone_144,0.12282687
zone_234,0.12193058
zone_216,0.11684657
zone_164,0.11628723
zone_237,0.11451343
zone_61,0.105325475
zone_129,0.105185926
zone_163,0.10472855
zone_68,0.10109314
zone_231,0.09452339
zone_39,0.08553021
zone_145,0.08319905
zone_95,0.07957252
zone_42,0.07201694
zone_225,0.06519296
zone_170,0.06513084
zone_142,0.06483207
zone_168,0.06367264
zone_181,0.06341169
zone_244,0.062241204
zone_141,0.0578948
zone_74,0.05531964
zone_7,0.052237146
zone_89,0.051335033
zone_130,0.048432086
zone_188,0.03930226
zone_82,0.038637668
zone_107,0.037305158
zone_90,0.036721855
zone_41,0.031841848
zone_17,0.028975897
