feature,importance
median_lag_3w,53.74208
lag_1,47.747776
hour,11.862879
lag_24,11.12912
dayofweek,3.9924817
zone_132,0.601949
zone_138,0.5780869
is_holiday,0.45096657
zone_80,0.35493222
zone_148,0.32926232
zone_36,0.27528
zone_79,0.26268476
zone_161,0.25775468
zone_230,0.25727314
zone_255,0.24790488
zone_37,0.22387293
zone_246,0.2133488
zone_256,0.18095297
zone_112,0.1690562
zone_236,0.1543395
zone_249,0.14795779
zone_162,0.14545268
zone_76,0.14287485
zone_164,0.1382689
zone_48,0.13079935
zone_216,0.12991634
zone_231,0.12973194
zone_237,0.12895721
zone_234,0.12615456
zone_144,0.12534437
zone_163,0.12495298
zone_145,0.12481106
zone_68,0.117965885
zone_97,0.1123057
zone_95,0.11187533
zone_129,0.10964704
zone_142,0.10232209
zone_141,0.10091487
zone_42,0.09188097
zone_61,0.09154865
zone_39,0.089779764
zone_168,0.08705553
zone_170,0.086802885
zone_244,0.08288677
zone_225,0.079336256
zone_181,0.07914689
zone_7,0.070321284
zone_130,0.06773054
zone_17,0.05639563
zone_82,0.055839855
zone_74,0.054676447
zone_90,0.049055666
zone_89,0.046765007
zone_41,0.041884195
zone_107,0.036886368
zone_188,0.032803703
