model,stage,mae,rmse,wape
xgboost,baseline,25.41900572685785,42.653487913226414,10.706982054112354
xgboost,tuned,23.879170040142153,41.46185203803017,10.058373165113737
lightgbm,baseline,25.787277698171017,42.59143328790404,10.862105406703458
lightgbm,tuned,23.71904469264521,40.39082322765909,9.99092523892492
