variant,model,feature,mean_importance,std_importance,importance_final_test
A,lightgbm,lag_168,24.124587688042183,0.5607941947574456,23.82555344856068
A,lightgbm,lag_336,20.728424704046596,0.9222992309036256,18.02641682334272
A,lightgbm,lag_504,7.366857306266061,0.7728515412840332,8.24210499103861
A,xgboost,lag_168,22.02836375,1.556300543559495,22.535467
A,xgboost,lag_336,21.215808250000002,1.3552507991139187,18.326271
A,xgboost,lag_504,7.4845154,0.4122170130334018,8.702887
B,lightgbm,median_lag_3w,53.69566882616637,2.465506993048725,52.50642003693456
B,xgboost,median_lag_3w,54.16815625,1.820380550312556,51.071117
C,lightgbm,lag_168,6.473813901218305,0.491595645005797,6.601039948101086
C,lightgbm,median_lag_3w,53.19152426098307,1.8343093030601982,49.43997318931465
C,xgboost,lag_168,4.8993173,0.5144589783919805,5.216109
C,xgboost,median_lag_3w,54.711856,1.9938940226889381,52.07734
