variant,model,mae_mean,mae_std,rmse_mean,rmse_std,wape_mean,wape_std
A,lightgbm,24.51401076523143,3.1714913797995785,41.776338628287576,6.386475479516941,0.0968031137176624,0.008900995519437939
A,xgboost,24.765043888015747,3.3144352539578885,42.49439134982796,6.554912426386135,0.09777806979143713,0.00938122482688004
B,lightgbm,24.12026344752982,2.8549992850724255,41.02357669502663,6.035455003363626,0.09527425094123379,0.007621741673575271
B,xgboost,24.380458489986346,2.9444798166297654,41.95894619830997,6.3014719970731905,0.09629418396395814,0.0079306491586329
C,lightgbm,24.260696111999568,2.958561887191706,41.301454169227306,6.1342354866959,0.09582217837046152,0.00805936842301687
C,xgboost,24.590403321152856,3.1755025283874163,42.40380644389865,6.443052900951935,0.09710277841571742,0.008861717674482376
