variant,fold,model,mae,rmse,wape
A,fold1,xgboost,20.39200601922889,33.90021119849111,8.78347094823382
A,fold1,lightgbm,20.302368965129705,33.42487285341555,8.744861482356699
A,fold2,xgboost,23.57962591388718,40.01372990341904,9.565264549882286
A,fold2,lightgbm,23.667410141251715,39.78764067216178,9.600874926447007
A,fold3,xgboost,23.43867708600617,40.90032010911935,8.958650820701482
A,fold3,lightgbm,23.278773274946687,39.95449632635677,8.89753293410213
A,fold4,xgboost,27.392554300365347,51.079999819057,10.485823753413579
A,fold4,lightgbm,27.186928685139442,50.32412814815324,10.407110613455785
A,final_test,xgboost,28.23989086744926,46.181174511066786,10.791422532542898
A,final_test,lightgbm,28.1345727596896,45.39055514135053,10.751176902469574
B,fold1,xgboost,20.364195389415947,33.928895204205425,8.771492045384157
B,fold1,lightgbm,20.215268047216508,33.1142736712342,8.707344409179413
B,fold2,xgboost,23.422299576686488,39.59410996713252,9.501443858176472
B,fold2,lightgbm,23.347970361627485,39.146210226581466,9.471291615370715
B,fold3,xgboost,23.30890044989365,40.816819339902636,8.909048039650692
B,fold3,lightgbm,23.18711973801008,39.66927053706901,8.862501433352989
B,fold4,xgboost,27.025838903430436,51.26905576734071,10.345445715726479
B,fold4,lightgbm,26.652142674515456,49.39856757974913,10.202395427288591
B,final_test,xgboost,27.25125917207009,44.494613136755234,10.413632745607204
B,final_test,lightgbm,27.198816416279573,43.789561460499336,10.393592585425184
C,fold1,xgboost,20.422995851312272,34.10199519219044,8.796819232337814
C,fold1,lightgbm,20.273186490364093,33.19349868477298,8.732291683237396
C,fold2,xgboost,23.44684173860484,39.85964405607702,9.511399583183831
C,fold2,lightgbm,23.462700479008394,39.49347181662903,9.517832808542957
C,fold3,xgboost,23.374970589657465,40.955704570427685,8.934301142018503
C,fold3,lightgbm,23.196156371694688,39.71580632966793,8.865955384507226
C,fold4,xgboost,27.1361432542685,51.03027540173807,10.387670035862524
C,fold4,lightgbm,26.84618535011153,49.58701742025663,10.276674637421035
C,final_test,xgboost,27.733390951140592,45.74137198095429,10.597871692164663
C,final_test,lightgbm,27.52525186881913,44.51747659480995,10.518334671522148
