variant,model,mean_group_importance,std_group_importance,group_importance_final_test
A,lightgbm,52.21986969835484,1.5302476204605189,50.094075262942006
A,xgboost,50.728689193725586,2.006958239008128,49.56462860107422
B,lightgbm,53.69566882616637,2.465506993048726,52.506420036934564
B,xgboost,54.168155670166016,1.8203800439065392,51.07111740112305
C,lightgbm,59.66533816220138,2.3122780897874753,56.04101313741573
C,xgboost,59.611172676086426,2.4961807291127758,57.29344940185547
