variant,model,group_proposal_sum_mean_abs_mean,group_proposal_sum_mean_abs_std,group_alt_mean_abs_sum_mean,group_alt_mean_abs_sum_std,cancellation_ratio_mean,cancellation_ratio_std
A,lightgbm,51.56462736629733,1.4820365133552407,49.89131466833005,1.4306371119228218,0.9675558017493089,0.003427328420564107
A,xgboost,51.949018478393555,2.047720111290327,50.40620708465576,1.8667977346023792,0.9703810086705289,0.005475838361444997
B,lightgbm,52.897364969171214,2.3994507618734935,52.897364969171214,2.3994507618734935,1.0,0.0
B,xgboost,55.78212833404541,2.0505080310874,55.78212833404541,2.0505080310874,1.0,0.0
C,lightgbm,58.799403845133476,2.218758994317928,58.04711562834165,2.307102248490951,0.9871537662195858,0.0032028862759383653
C,xgboost,54.43696880340576,1.2156609832786756,54.19602394104004,1.152857722444317,0.9955918427914829,0.0012013906658074089
