variant,scope,n_pairs,n_better_than_A,mean_delta_mae,std_delta_mae,se_delta_mae,mean_over_std,mean_over_se,worst_delta_mae,best_delta_mae
B,pooled_2models,8,8,-0.22911002912189327,0.18658761965706366,0.06596868557248303,1.2278951279992913,3.4730118863768906,-0.07947222010222532,-0.5347860106239857
B,xgboost,4,4,-0.19997499696928145,0.18225534639404453,0.09112767319702227,1.0972243115267861,2.1944486230535722,-0.07947222010222532,-0.4714996495793251
B,lightgbm,4,4,-0.2582450612745051,0.21390242636080128,0.10695121318040064,1.2073030945376402,2.4146061890752804,-0.0871009179131974,-0.5347860106239857
C,pooled_2models,8,8,-0.13845429457084135,0.1086601245254424,0.038417155448257495,1.2741959865730024,3.6039704906658123,-0.0291824747656122,-0.34074333502791276
C,xgboost,4,4,-0.11259549531947144,0.08084073670084045,0.040420368350420226,1.3928063982907872,2.7856127965815745,-0.04719531956980205,-0.22658177836777327
C,lightgbm,4,4,-0.16431309382221126,0.13867716047521728,0.06933858023760864,1.1848605297306714,2.3697210594613427,-0.0291824747656122,-0.34074333502791276
