feature,importance
lag_1,51.065952
median_lag_3w,46.615257
hour,13.743803
lag_24,10.205154
dayofweek,4.0101213
zone_138,0.6659121
zone_132,0.6023381
zone_80,0.35141924
zone_148,0.3142046
zone_36,0.28664798
zone_79,0.27334768
zone_37,0.25745046
zone_255,0.25728244
zone_230,0.2536202
zone_161,0.22583349
zone_246,0.20254709
zone_256,0.18708585
is_holiday,0.18696605
zone_249,0.17173038
zone_112,0.15492648
zone_48,0.15338427
zone_236,0.1516172
zone_162,0.14304733
zone_164,0.13530973
zone_237,0.13241741
zone_76,0.12927948
zone_145,0.12775604
zone_163,0.12771054
zone_234,0.121004626
zone_97,0.11895413
zone_144,0.117454015
zone_68,0.108450174
zone_216,0.107402734
zone_39,0.1073491
zone_141,0.09766034
zone_231,0.09183784
zone_129,0.087885514
zone_61,0.08680242
zone_181,0.08309182
zone_42,0.08081855
zone_7,0.080036215
zone_142,0.07908766
zone_95,0.07448115
zone_170,0.07057718
zone_168,0.069068916
zone_130,0.06413978
zone_244,0.061730348
zone_225,0.059661634
zone_74,0.053365752
zone_82,0.0520877
zone_89,0.046980936
zone_90,0.04245033
zone_107,0.03812728
zone_17,0.034944195
zone_188,0.03470805
zone_41,0.03429417
